DictWordID,PojUnicode,PojInput,KipUnicode,KipInput,HanLoTaibunPoj,HanLoTaibunKip,HoaBun,DataProvidedBy,PojNormalized,KipNormalized
17,chheⁿ-hoe/chhiⁿ-hoe,chhenn-hoe/chhinn-hoe,tshenn-hue/tshinn-hue,tshenn-hue/tshinn-hue,青花,青花,青花菜,匿名,chhe-hoe/chhi-hoe,tshenn-hue/tshinn-hue
18,phō khì bong,pho7 khi3 bong,phō khì bong,pho7 khi3 bong,抱去摸,抱去摸,神奇寶貝,匿名,pho khi bong,pho khi bong
19,chun-siú kui-kí,chun-siu2 kui-ki2,tsun-siú kui-kí,tsun-siu2 kui-ki2,遵守規矩,遵守規矩,遵守規矩,匿名,chun-siu kui-ki,tsun-siu kui-ki
20,chhùi,chhui3,tshuì,tshui3,喙,喙,口,匿名,chhui,tshui
21,ūi-cho-cho,ui7-cho-cho,uī-tso-tso,ui7-tso-tso,胃慒慒,胃慒慒,胃不舒服,匿名,ui-cho-cho,ui-tso-tso
22,sin-seⁿ-á,sin-senn-a2,sin-senn-á,sin-senn-a2,新生仔,新生仔,新生兒,匿名,sin-se-a,sin-senn-a
23,nn̄g-thah,nng7-thah,nn̄g-thah,nng7-thah,卵塔,卵塔,蛋塔,匿名,nn̄g-thah,nn̄g-thah
24,khàu-iau,khau3-iau,khàu-iau,khau3-iau,哭枵,哭枵,靠腰,匿名,khau-iau,khau-iau
25,kha-chhiú bô chheng-khì,kha-chhiu2 bo5 chheng-khi3,kha-tshiú bô tshing-khì,kha-tshiu2 bo5 tshing-khi3,跤手無清氣,跤手無清氣,手腳不乾淨,匿名,kha-chhiu bo chheng-khi,kha-tshiu bo tshing-khi
26,ak-chak,ak-chak,ak-tsak,ak-tsak,齷齪,齷齪,煩,Fu-Hsuan Ju,ak-chak,ak-tsak
27,Tâi-gí/Tâi-gú,Tai5-gi2/Tai5-gu2,Tâi-gí/Tâi-gú,Tai5-gi2/Tai5-gu2,台語,台語,台語,匿名,Tai-gi/Tai-gu,Tai-gi/Tai-gu
28,Bân-lâm-gí/Bân-lâm-gú,Ban5-lam5-gi2/Ban5-lam5-gu2,Bân-lâm-gí/Bân-lâm-gú,Ban5-lam5-gi2/Ban5-lam5-gu2,閩南語,閩南語,閩南語,匿名,Ban-lam-gi/Ban-lam-gu,Ban-lam-gi/Ban-lam-gu
29,lāu-thōe,lau7-thoe7,lāu-thuē,lau7-thue7,老傫,老傫,老年癡呆症,匿名,lau-thoe,lau-thue
30,pēⁿ-kiáⁿ/pīⁿ-kiáⁿ,penn7-kiann2/pinn7-kiann2,pēnn-kiánn/pīnn-kiánn,penn7-kiann2/pinn7-kiann2,病囝,病囝,害喜,陳憲緯,pe-kia/pi-kia,penn-kiann/pinn-kiann
31,cha-bó͘-kiáⁿ-chha̍t,cha-boo2-kiann2-chhat8,tsa-bóo-kiánn-tsha̍t,tsa-boo2-kiann2-tshat8,查某囝賊,查某囝賊,女兒賊,陳憲緯,cha-bo-kia-chhat,tsa-boo-kiann-tshat
32,khàu-iau,khau3-iau,khàu-iau,khau3-iau,哭枵,哭枵,靠腰,陳憲緯,khau-iau,khau-iau
33,kha-thâu-u,kha-thau5-u,kha-thâu-u,kha-thau5-u,跤頭趺,跤頭趺,膝,Miao Chiang Yen,kha-thau-u,kha-thau-u
34,chù-siā,chu3-sia7,tsù-siā,tsu3-sia7,注射,注射,注射,Miao Chiang Yen,chu-sia,tsu-sia
35,sí-gín-á-pó͘,si2-gin2-a2-poo2,sí-gín-á-póo,si2-gin2-a2-poo2,死囡仔脯,死囡仔脯,小屁孩,Miao Chiang Yen,si-gin-a-po,si-gin-a-poo
36,chia̍h-pn̄g,chiah8-png7,tsia̍h-pn̄g,tsiah8-png7,食飯,食飯,吃飯,Miao Chiang Yen,chiah-pn̄g,tsiah-pn̄g
37,āu-piah ê,au7-piah e5,āu-piah ê,au7-piah e5,後壁的,後壁的,後面的,Miao Chiang Yen,au-piah e,au-piah e
38,kóng-pò͘ tiān-tâi,kong2-poo3 tian7-tai5,kóng-pòo tiān-tâi,kong2-poo3 tian7-tai5,廣播電台,廣播電台,廣播電台,Miao Chiang Yen,kong-po tian-tai,kong-poo tian-tai
39,chhùi-khí-thiàⁿ,chhui3-khi2-thiann3,tshuì-khí-thiànn,tshui3-khi2-thiann3,喙齒疼,喙齒疼,牙痛,Miao Chiang Yen,chhui-khi-thia,tshui-khi-thiann
40,Iâm-lô-chheⁿ/Iâm-lô-chhiⁿ,Iam5-lo5-chhenn/Iam5-lo5-chhinn,Iâm-lô-tshenn/Iâm-lô-tshinn,Iam5-lo5-tshenn/Iam5-lo5-tshinn,閻羅星,閻羅星,冥王星,匿名,Iam-lo-chhe/Iam-lo-chhi,Iam-lo-tshenn/Iam-lo-tshinn
41,Má-chó͘-chheⁿ/Má-chó͘-chhiⁿ,Ma2-choo2-chhenn/Ma2-choo2-chhinn,Má-tsóo-tshenn/Má-tsóo-tshinn,Ma2-tsoo2-tshenn/Ma2-tsoo2-tshinn,媽祖星,媽祖星,海王星,匿名,Ma-cho-chhe/Ma-cho-chhi,Ma-tsoo-tshenn/Ma-tsoo-tshinn
42,Thiⁿ-kong-chheⁿ/Thiⁿ-kong-chhiⁿ,Thinn-kong-chhenn/Thinn-kong-chhinn,Thinn-kong-tshenn/Thinn-kong-tshinn,Thinn-kong-tshenn/Thinn-kong-tshinn,天公星,天公星,天王星,匿名,Thi-kong-chhe/Thi-kong-chhi,Thinn-kong-tshenn/Thinn-kong-tshinn
43,thâu-chêng,thau5-cheng5,thâu-tsîng,thau5-tsing5,頭前,頭前,前面的,匿名,thau-cheng,thau-tsing
44,āu-bīn,au7-bin7,āu-bīn,au7-bin7,後面,後面,後面的,Ellen Post,au-bin,au-bin
45,góa ē-hiáu kóng,goa2 e7-hiau2 kong2,guá ē-hiáu kóng,gua2 e7-hiau2 kong2,我會曉講,我會曉講,我會說,匿名,goa e-hiau kong,gua e-hiau kong
46,phi̍h-phi̍h-chhoah,phih8-phih8-chhoah,phi̍h-phi̍h-tshuah,phih8-phih8-tshuah,咇咇掣,咇咇掣,顫抖,匿名,phih-phih-chhoah,phih-phih-tshuah
47,siān-tauh-tauh,sian7-tauh-tauh,siān-tauh-tauh,sian7-tauh-tauh,𤺪篤篤,𤺪篤篤,疲倦,匿名,sian-tauh-tauh,sian-tauh-tauh
48,e-phi-phi,e-phi-phi,e-phi-phi,e-phi-phi,APP,APP,手機應用程式,匿名,e-phi-phi,e-phi-phi
49,chúi-sò͘,chui2-soo3,tsúi-sòo,tsui2-soo3,水素,水素,氫,匿名,chui-so,tsui-soo
50,jı̍t-sò͘,jı̍t-soo3,jı̍t-sòo,jı̍t-soo3,日素,日素,氦,匿名,jit-so,jit-soo
51,tiⁿ-sò͘,tinn-soo3,tinn-sòo,tinn-soo3,甜素,甜素,鈹,匿名,ti-so,tinn-soo
52,khó͘-sò͘,khoo2-soo3,khóo-sòo,khoo2-soo3,苦素,苦素,鎂,匿名,kho-so,khoo-soo
53,lí hó,li2 ho2,lí hó,li2 ho2,你好,你好,你好,匿名,li ho,li ho
54,iâm-sò͘,iam5-soo3,iâm-sòo,iam5-soo3,鹽素,鹽素,氯,匿名,iam-so,iam-soo
55,chhàu-sò͘,chhau3-soo3,tshàu-sòo,tshau3-soo3,臭素,臭素,溴,匿名,chhau-so,tshau-soo
56,kha-thâu-u,kha-thau5-u,kha-thâu-u,kha-thau5-u,跤頭趺,跤頭趺,膝,匿名,kha-thau-u,kha-thau-u
57,phah chhia-phiò,phah chhia-phio3,phah tshia-phiò,phah tshia-phio3,拍車票,拍車票,買車票,匿名,phah chhia-phio,phah tshia-phio
58,han-chî-hio̍h,han-chi5-hioh8,han-tsî-hio̍h,han-tsi5-hioh8,番薯葉,番薯葉,地瓜葉,匿名,han-chi-hioh,han-tsi-hioh
59,mî-nōa,mi5-noa7,mî-nuā,mi5-nua7,綿爛,綿爛,熱衷,Morrison Iûnn,mi-noa,mi-nua
60,chhiah-ia̍h,chhiah-iah8,tshiah-ia̍h,tshiah-iah8,刺疫,刺疫,討厭,Van  Lai,chhiah-iah,tshiah-iah
61,kòe-kau-chhài/kè-kau-chhài,koe3-kau-chhai3/ke3-kau-chhai3,kuè-kau-tshài/kè-kau-tshài,kue3-kau-tshai3/ke3-kau-tshai3,過溝菜,過溝菜,地瓜葉,Morrison Iûnn,koe-kau-chhai/ke-kau-chhai,kue-kau-tshai/ke-kau-tshai
62,o͘-chhiⁿ/o͘-chheⁿ,oo-chhinn/oo-chhenn,oo-tshinn/oo-tshenn,oo-tshinn/oo-tshenn,烏青,烏青,瘀傷,Morrison Iûnn,o-chhi/o-chhe,oo-tshinn/oo-tshenn
63,lí hó,lí hó,lí hó,lí hó,你好,你好,妳好,游威力,lí hó,lí hó
64,chhoah sái,chhoah sai2,tshuah sái,tshuah sai2,疶屎,疶屎,拉屎,匿名,chhoah sai,tshuah sai
65,iu-iû-khah,iu-iû-khah,iu-iû-khah,iu-iû-khah,悠遊卡,悠遊卡,悠遊卡,游威力,iu-iû-khah,iu-iû-khah
66,tu̍h-lān,tuh8-lan7,tu̍h-lān,tuh8-lan7,揬𡳞,揬𡳞,討厭,匿名,tuh-lan,tuh-lan
67,pháng-kauh,phang2-kauh,pháng-kauh,phang2-kauh,麭𩛩,麭𩛩,三明治,匿名,phang-kauh,phang-kauh
68,giâ-nn̄g/gô-nn̄g,gia5-nng7/go5-nng7,giâ-nn̄g/gô-nn̄g,gia5-nng7/go5-nng7,鵝卵,鵝卵,巨蛋,Khóo Ka-ióng,gia-nn̄g/go-nn̄g,gia-nn̄g/go-nn̄g
69,Bí-kok-koah-pau,Bi2-kok-koah-pau,Bí-kok-kuah-pau,Bi2-kok-kuah-pau,美國割包,美國割包,漢堡,Khóo Ka-ióng,Bi-kok-koah-pau,Bi-kok-kuah-pau
70,Tâi-oân,Tai5-oan5,Tâi-uân,Tai5-uan5,臺灣,臺灣,台灣,David Kang,Tai-oan,Tai-uan
71,kàn-lín-niâ,kan3-lin2-nia5,kàn-lín-niâ,kan3-lin2-nia5,姦恁娘,姦恁娘,幹你娘,David Kang,kan-lin-nia,kan-lin-nia
72,kâu-sí-gín-á,kau5-sí-gín-á,kâu-sí-gín-á,kau5-sí-gín-á,猴死囡仔,猴死囡仔,小屁孩,David Kang,kau-sí-gín-á,kau-sí-gín-á
73,kâu-sí-gín-á,kau5-sí-gín-á,kâu-sí-gín-á,kau5-sí-gín-á,猴死囡仔,猴死囡仔,死小孩,David Kang,kau-sí-gín-á,kau-sí-gín-á
74,táⁿ-kiap,tánn-kiap,tánn-kiap,tánn-kiap,打劫,打劫,打劫,游威力,tá-kiap,tánn-kiap
75,han-chî-hio̍h-á/han-chû-hio̍h-á,han-chi5-hioh8-á/han-chû-hioh8-á,han-tsî-hio̍h-á/han-tsû-hio̍h-á,han-tsi5-hioh8-á/han-tsû-hioh8-á,番薯葉仔,番薯葉仔,地瓜葉,游威力,han-chi-hioh-á/han-chû-hioh-á,han-tsi-hioh-á/han-tsû-hioh-á
76,se-chng/soe-chng,se-chng/soe-chng,se-tsng/sue-tsng,se-tsng/sue-tsng,梳妝,梳妝,梳妝,游威力,se-chng/soe-chng,se-tsng/sue-tsng
77,ún-hîng-ba̍k-kiàⁿ,un2-hîng-bak8-kiànn,ún-hîng-ba̍k-kiànn,un2-hîng-bak8-kiànn,隱形目鏡,隱形目鏡,隱形眼鏡,游威力,un-hîng-bak-kià,un-hîng-bak-kiànn
78,lí kóng--leh,lí kóng--leh,lí kóng--leh,lí kóng--leh,你講咧,你講咧,你說咧,游威力,lí kóng--leh,lí kóng--leh
79,sàng-sòo,sang3-sòo,sàng-sòo,sang3-sòo,酸素,酸素,氧氣,游威力,sang-sòo,sang-sòo
80,ē-po͘-tê/e-po͘-tê,e7-poo-tê/e-poo-tê,ē-poo-tê/e-poo-tê,e7-poo-tê/e-poo-tê,下晡茶,下晡茶,下午茶,游威力,e-po-tê/e-po-tê,e-poo-tê/e-poo-tê
81,kha-chhiú chiān,kha-chhiu2 chian7,kha-tshiú tsiān,kha-tshiu2 tsian7,跤手賤,跤手賤,手腳不乾淨,匿名,kha-chhiu chian,kha-tshiu tsian
82,koah chhia-toaⁿ,koah chhia-toann,kuah tshia-tuann,kuah tshia-tuann,割車單,割車單,買車票,匿名,koah chhia-toa,kuah tshia-tuann
83,koe-á-chhiu,koe-a2-chhiu,kue-á-tshiu,kue-a2-tshiu,瓜仔鬚,瓜仔鬚,龍鬚菜,匿名,koe-a-chhiu,kue-a-tshiu
84,kái-piⁿ,kai2-pinn,kái-pinn,kai2-pinn,骱邊,骱邊,鼠蹊溝,匿名,kai-pi,kai-pinn
85,tio̍h--bô,tioh8--bo5,tio̍h--bô,tioh8--bo5,著無,著無,對不對,匿名,tioh--bo,tioh--bo
86,sé-bīn-chō/sóe-bīn-chō,se2-bin7-cho7/soe2-bin7-cho7,sé-bīn-tsō/sué-bīn-tsō,se2-bin7-tso7/sue2-bin7-tso7,洗面皂,洗面皂,洗面乳,匿名,se-bin-cho/soe-bin-cho,se-bin-tso/sue-bin-tso
87,sé-bīn--ê/sóe-bīn--ê,se2-bin7--e5/soe2-bin7--e5,sé-bīn--ê/sué-bīn--ê,se2-bin7--e5/sue2-bin7--e5,洗面的,洗面的,洗面乳,匿名,se-bin--e/soe-bin--e,se-bin--e/sue-bin--e
88,han-chî-hio̍h/han-chû-hio̍h,han-chi5-hioh8/han-chu5-hioh8,han-tsî-hio̍h/han-tsû-hio̍h,han-tsi5-hioh8/han-tsu5-hioh8,番薯葉,番薯葉,地瓜葉,匿名,han-chi-hioh/han-chu-hioh,han-tsi-hioh/han-tsu-hioh
89,ti-chhài,ti-chhai3,ti-tshài,ti-tshai3,豬菜,豬菜,地瓜葉,匿名,ti-chhai,ti-tshai
90,hóe-sio-sim,hoe2-sio-sim,hué-sio-sim,hue2-sio-sim,火燒心,火燒心,心灼痛,匿名,hoe-sio-sim,hue-sio-sim
91,khàu-iau,khau3-iau,khàu-iau,khau3-iau,哭枵,哭枵,靠夭,匿名,khau-iau,khau-iau
92,chhut-seng ji̍t-kî,chhut-seng jit8-ki5,tshut-sing ji̍t-kî,tshut-sing jit8-ki5,出生日期,出生日期,出生日期,匿名,chhut-seng jit-ki,tshut-sing jit-ki
93,gêng-hoeh/gêng-huih,geng5-hoeh/geng5-huih,gîng-hueh/gîng-huih,ging5-hueh/ging5-huih,凝血,凝血,凝血,匿名,geng-hoeh/geng-huih,ging-hueh/ging-huih
94,ba̍k-chhái,bak8-chhai2,ba̍k-tshái,bak8-tshai2,目彩,目彩,眼影,匿名,bak-chhai,bak-tshai
95,bàng-gah/bàng-kah,bang3-gah/bang3-kah,bàng-gah/bàng-kah,bang3-gah/bang3-kah,漫畫,漫畫,卡通,Khóo Ka-ióng,bang-gah/bang-kah,bang-gah/bang-kah
96,bīn-chu/bīn-chṳ,bin7-chu/bin7-chur,bīn-tsu/bīn-tsir,bin7-tsu/bin7-tsir,面書,面書,FB,Khóo Ka-ióng,bin-chu/bin-chu,bin-tsu/bin-tsir
97,chhut-sì-nî-goe̍h/chhut-sì-nî-ge̍h,chhut-si3-ni5-goeh8/chhut-si3-ni5-geh8,tshut-sì-nî-gue̍h/tshut-sì-nî-ge̍h,tshut-si3-ni5-gueh8/tshut-si3-ni5-geh8,出世年月,出世年月,出生日期,費加洛,chhut-si-ni-goeh/chhut-si-ni-geh,tshut-si-ni-gueh/tshut-si-ni-geh
98,chheh-hêng tiān-náu,chheh-heng5 tian7-nau2,tsheh-hîng tiān-náu,tsheh-hing5 tian7-nau2,冊型電腦,冊型電腦,筆記型電腦,費加洛,chheh-heng tian-nau,tsheh-hing tian-nau
99,tah-ba̍k-kiàⁿ-jîn,tah-bak8-kiann3-jin5,tah-ba̍k-kiànn-jîn,tah-bak8-kiann3-jin5,貼目鏡仁,貼目鏡仁,隱形眼鏡,費加洛,tah-bak-kia-jin,tah-bak-kiann-jin
100,chian-chúi-kiáu,chian-chui2-kiau2,tsian-tsuí-kiáu,tsian-tsui2-kiau2,煎水餃,煎水餃,煎水餃,Ki-seng Lim,chian-chui-kiau,tsian-tsui-kiau
101,té-kûn,te2-kun5,té-kûn,te2-kun5,短裙,短裙,短裙,匿名,te-kun,te-kun
102,Thài-pêng-tó͘,Thai3-peng5-too2,Thài-pîng-tóo,Thai3-ping5-too2,太平島,太平島,太平島,匿名,Thai-peng-to,Thai-ping-too
103,chhiau-kip-chhī-tiûⁿ,chhiau-kip-chhi7-tiunn5,tshiau-kip-tshī-tiûnn,tshiau-kip-tshi7-tiunn5,超級市場,超級市場,超級市場,匿名,chhiau-kip-chhi-tiu,tshiau-kip-tshi-tiunn
104,liông-kut-chhóe/liông-kut-chhé,liong5-kut-chhoe2/liong5-kut-chhe2,liông-kut-tshué/liông-kut-tshé,liong5-kut-tshue2/liong5-kut-tshe2,龍骨髓,龍骨髓,脊髓,匿名,liong-kut-chhoe/liong-kut-chhe,liong-kut-tshue/liong-kut-tshe
105,To-lá-é-bōng,To-la2-e2-bong7,To-lá-é-bōng,To-la2-e2-bong7,哆啦A夢,哆啦A夢,哆啦A夢,莊銘彥,To-la-e-bong,To-la-e-bong
106,án-chóaⁿ kóng,an2-choann2 kong2,án-tsuánn kóng,an2-tsuann2 kong2,按怎講,按怎講,怎樣講,匿名,an-choa kong,an-tsuann kong
107,tō͘-chiam,too7-chiam,tōo-tsiam,too7-tsiam,度針,度針,體溫計,匿名,to-chiam,too-tsiam
108,thâu-khak,thau5-khak,thâu-khak,thau5-khak,頭殼,頭殼,腦袋,匿名,thau-khak,thau-khak
109,pēⁿ-kiáⁿ/pīⁿ-kiáⁿ,penn7-kiann2/pinn7-kiann2,pēnn-kiánn/pīnn-kiánn,penn7-kiann2/pinn7-kiann2,病囝,病囝,害喜,匿名,pe-kia/pi-kia,penn-kiann/pinn-kiann
110,bān-chhiáⁿ-sī/bān-chhiáⁿ-ī,ban7-chhiann2-si7/ban7-chhiann2-i7,bān-tshiánn-sī/bān-tshiánn-ī,ban7-tshiann2-si7/ban7-tshiann2-i7,慢且是,慢且是,慢一點,匿名,ban-chhia-si/ban-chhia-i,ban-tshiann-si/ban-tshiann-i
111,chah-sin-ji̍p-tiān-a̍p,chah-sin-jip8-tian7-ap8,tsah-sin-ji̍p-tiān-a̍p,tsah-sin-jip8-tian7-ap8,紮身入電盒,紮身入電盒,行動電源,費加洛,chah-sin-jip-tian-ap,tsah-sin-jip-tian-ap
112,kâu-gín-á,kau5-gin2-a2,kâu-gín-á,kau5-gin2-a2,猴囡仔,猴囡仔,小屁孩,匿名,kau-gin-a,kau-gin-a
113,Lí sī siáng,Li2 si7 siang2,Lí sī siáng,Li2 si7 siang2,你是啥人,你是啥人,你是誰,Miao Chiang Yen,Li si siang,Li si siang
114,lù-khah,lu3-khah,lù-khah,lu3-khah,鑢卡,鑢卡,刷卡,David Kang,lu-khah,lu-khah
115,chhit-hō-á,chhit-ho7-a2,tshit-hō-á,tshit-ho7-a2,七號仔,七號仔,7-11,匿名,chhit-ho-a,tshit-ho-a
116,phùi-that-á,phui3-that-a2,phuì-that-á,phui3-that-a2,屁窒仔,屁窒仔,小屁孩,匿名,phui-that-a,phui-that-a
117,Ang--ê góa ài--lí,Ang--e5 goa2 ai3--li2,Ang--ê guá ài--lí,Ang--e5 gua2 ai3--li2,翁的我愛你,翁的我愛你,老公我愛你,匿名,Ang--e goa ai--li,Ang--e gua ai--li
118,Thâu--ê góa ài--lí,Thau5--e5 goa2 ai3--li2,Thâu--ê guá ài--lí,Thau5--e5 gua2 ai3--li2,頭的我愛你,頭的我愛你,老公我愛你,匿名,Thau--e goa ai--li,Thau--e gua ai--li
119,Chúi-chheⁿ tò-thâu kiâⁿ,Chui2-chhenn to3-thau5 kiann5,Tsuí-tshenn tò-thâu kiânn,Tsui2-tshenn to3-thau5 kiann5,水星倒頭行,水星倒頭行,水星逆行,匿名,Chui-chhe to-thau kia,Tsui-tshenn to-thau kiann
120,thún-ta̍h bîn-chú,thun2-tah8 bin5-chu2,thún-ta̍h bîn-tsú,thun2-tah8 bin5-tsu2,𧿬踏民主,𧿬踏民主,踐踏民主,匿名,thun-tah bin-chu,thun-tah bin-tsu
121,Góa kiōng-beh bē-hù--ah,Goa2 kiong7-beh be7-hu3--ah,Guá kiōng-beh bē-hù--ah,Gua2 kiong7-beh be7-hu3--ah,我強欲袂赴矣,我強欲袂赴矣,我快要遲到了,Vito Chang,Goa kiong-beh be-hu--ah,Gua kiong-beh be-hu--ah
122,Góa teh-beh/teh-boeh bē-hù/bōe-hù--ah,Goa2 teh-beh/teh-boeh be7-hu3/boe7-hu3--ah,Guá teh-beh/teh-bueh bē-hù/buē-hù--ah,Gua2 teh-beh/teh-bueh be7-hu3/bue7-hu3--ah,我咧欲袂赴矣,我咧欲袂赴矣,我快要遲到了,匿名,Goa teh-beh/teh-boeh be-hu/boe-hu--ah,Gua teh-beh/teh-bueh be-hu/bue-hu--ah
123,au-bú,au-bu2,au-bú,au-bu2,後母,後母,二媽,匿名,au-bu,au-bu
124,chúi-chheⁿ ge̍k-hêng/chúi-chhiⁿ ge̍k-hêng,chui2-chhenn gek8-heng5/chui2-chhinn gek8-heng5,tsuí-tshenn gi̍k-hîng/tsuí-tshinn gi̍k-hîng,tsui2-tshenn gik8-hing5/tsui2-tshinn gik8-hing5,水星逆行,水星逆行,水逆,莊銘彥,chui-chhe gek-heng/chui-chhi gek-heng,tsui-tshenn gik-hing/tsui-tshinn gik-hing
125,sāi-thái,sai7-thai2,sāi-thái,sai7-thai2,撒體,撒體,鬧彆扭,莊銘彥,sai-thai,sai-thai
126,tiàu-khò͘,tiau3-khoo3,tiàu-khòo,tiau3-khoo3,吊褲,吊褲,吊帶褲,Liz Lin,tiau-kho,tiau-khoo
127,tiān-sī-tâi,tian7-si7-tai5,tiān-sī-tâi,tian7-si7-tai5,電視台,電視台,電視台,匿名,tian-si-tai,tian-si-tai
128,khàu-pē-khàu-bú,khau3-pe7-khau3-bu2,khàu-pē-khàu-bú,khau3-pe7-khau3-bu2,哭爸哭母,哭爸哭母,靠夭,匿名,khau-pe-khau-bu,khau-pe-khau-bu
129,pó-kè-bōng,po2-ke3-bong7,pó-kè-bōng,po2-ke3-bong7,寶價望,寶價望,寶可夢,費加洛,po-ke-bong,po-ke-bong
130,chúi-ah-chhia,chui2-ah-chhia,tsuí-ah-tshia,tsui2-ah-tshia,水鴨車,水鴨車,水陸觀光車,費加洛,chui-ah-chhia,tsui-ah-tshia
131,án-chóaⁿ kóng/án-ná-kóng,an2-choann2 kong2/an2-na2-kong2,án-tsuánn kóng/án-ná-kóng,an2-tsuann2 kong2/an2-na2-kong2,按怎講,按怎講,怎麼說,David Kang,an-choa kong/an-na-kong,an-tsuann kong/an-na-kong
132,liông-kut,liong5-kut,liông-kut,liong5-kut,龍骨,龍骨,脊髓,匿名,liong-kut,liong-kut
133,chhit--á,chhit--a2,tshit--á,tshit--a2,七仔,七仔,7-11,匿名,chhit--a,tshit--a
134,chhè-siong,chhe3-siong,tshè-siong,tshe3-siong,摖傷,摖傷,擦傷,匿名,chhe-siong,tshe-siong
135,chhòng siáⁿ,chhong3 siann2,tshòng siánn,tshong3 siann2,創啥,創啥,幹什麼,匿名,chhong sia,tshong siann
136,kâu-thâu-kó,kau5-thau5-ko2,kâu-thâu-kó,kau5-thau5-ko2,猴頭果,猴頭果,奇異果,匿名,kau-thau-ko,kau-thau-ko
137,sńg-chúi,sng2-chui2,sńg-tsuí,sng2-tsui2,耍水,耍水,玩水,匿名,sng-chui,sng-tsui
138,tòng-làu-sái-io̍h,tong3-lau3-sai2-ioh8,tòng-làu-sái-io̍h,tong3-lau3-sai2-ioh8,擋落屎藥,擋落屎藥,止瀉劑,匿名,tong-lau-sai-ioh,tong-lau-sai-ioh
139,Sîn-keng thiàⁿ,Sin5-keng thiann3,Sîn-king thiànn,Sin5-king thiann3,神經疼,神經疼,神經痛,匿名,Sin-keng thia,Sin-king thiann
140,o͘-sái,oo-sai2,oo-sái,oo-sai2,烏屎,烏屎,黑便,匿名,o-sai,oo-sai
141,lí-lō͘,li2-loo7,lí-lōo,li2-loo7,理路,理路,邏輯,匿名,li-lo,li-loo
142,khà-chhiú-ki-á,kha3-chhiu2-ki-a2,khà-tshiú-ki-á,kha3-tshiu2-ki-a2,敲手機仔,敲手機仔,打手機,匿名,kha-chhiu-ki-a,kha-tshiu-ki-a
