Id,English,EnglishIPA,Afrikaans
86,"Atlantic","/ɐtlˈantɪk/","1. Atlantiese Oseaan❄2. Atlanties"
87,"Atlantic","/ɐtlˈantɪk/","Atlantiese Oseaan"
88,"Atlas","/ˈatləs/","Atlas"
89,"Attic","/ˈatɪk/","Atties"
90,"Augean","/ˈɔːdʒiən/","Augiasstal"
91,"Augeas","/ˈɔːdʒiəz/","Augias"
92,"August","/ˈɔːɡəst/","Augustus"
93,"Augustus","/ˈɔːɡʌstəs/","Augustus"
94,"Aurora","/ɐɹˈɔːɹə/","Aurora"
95,"Australia","/ɒstɹˈeɪliə/","Australië"
96,"Australian","/ɒstɹˈeɪliən/","1. Australies❄2. Australiër"
97,"Austria","/ˈɒstɹiə/","Oostenryk"
98,"Austrian","/ˈɒstɹiən/","1. Oostenryks❄2. Oostenryker"
99,"Aztec","/ˈaztɛk/","Astekies"
100,"Baal","/bˈɑːl/","Baäl"
101,"Babel","/bˈeɪbəl/","1. Babel❄2. Babilon"
102,"Babylon","/bˈabɪlən/","1. Babel❄2. Babilon"
103,"Babylonia","/bˌabɪlˈəʊniə/","Babilonië"
104,"Babylonian","/bˌabɪlˈəʊniən/","Babilonies"
105,"Bacchus","/bˈakəs/","Bacchus"
106,"Balearic","/beɪlˈaɹɪk/","Baleare, Baleariese Eilande"
107,"Balkans","/bˈɔːlkənz/","Balkan"
108,"Baltic","/bˈɒltɪk/","Balties"
109,"Baltic","/bˈɒltɪk/","Baltiese See, Oossee"
110,"Bantu","/bˈantuː/","1. Bantoe‐❄2. Bantoe"
111,"Barbery","/bˈɑːbəɹi/","Barbarye"
112,"Basque","/bˈask/","1. Baskies❄2. Bask"
113,"Batavian","/batˈeɪviən/","Bataaf, Bataviaan, Batavier"
114,"Bavaria","/bɐvˈeəɹiə/","Beiere"
115,"Bavarian","/bɐvˈeəɹiən/","1. Beiers❄2. Beier"
116,"Bedouin","/bˈɛduːɪn/","swerwer, woestynbewoner"
117,"Belgian","/bˈɛldʒən/","1. Belgies❄2. Belg"
118,"Belgium","/bˈɛldʒəm/","België"
119,"Belgrade","/bɛlɡɹˈeɪd/","Belgrado"
120,"Benedictine","/bˈɛnɪdˌɪktiːn/","Benediktyner, Benediktynermonnik"
121,"Benedictine","/bˈɛnɪdˌɪktiːn/","Benediktyner, Benediktynermonnik"
122,"Benelux","/bˈɛnɪlˌʌks/","Benelux"
123,"Bengal","/bˌɛŋɡˈɔːl/","1. Bengale❄2. Bengaals"
124,"Beotia","/bˈeɪəʊʃə/","Beosië"
125,"Berlin","/bɜːlˈɪn/","1. Berlyn❄2. Berlyns"
126,"Berliner","/bɜːlˈɪnə/","Berlyner"
127,"Berne","/bˈɜːn/","Bern"
128,"Bethlehem","/bˈɛθlɛhəm/","Betlehem"
129,"Bible","/bˈaɪbəl/","Bybel"
130,"Black","/blˈak/","Swart See"
131,"Bloemfontein","/blˈəʊmfɒntˌiːn/","Bloemfontein"
132,"Bluebeard","/blˈuːbiəd/","Bloubaard"
133,"Boer","/bˈəʊə/","Afrikaner, Boer"
134,"Bohemia","/bəʊhˈiːmiə/","Boheme"
135,"Bohemian","/bəʊhˈiːmiən/","Boheems"
136,"Bolivia","/bəlˈɪviə/","Boliwië"
137,"Bolivian","/bəlˈɪviən/","Boliwies"
138,"Bolshevik","/bˈɒlʃɪvˌɪk/","1. Bolsjewiek, Bolsjewis"
139,"Bombay","/bˈɒmbeɪ/","Bombaai"
140,"Brabant","/bɹˈabənt/","Brabant"
141,"Brabantine","/bɹˈabantˌiːn/","1. Brabants❄2. Brabander"
142,"Brazil","/bɹɐzˈɪl/","Brasilië"
143,"Brazilian","/bɹazˈɪliən/","1. Brasiliaans❄2. Brasiliaan"
144,"Bretagne","/bɹˈɛtaɡnɪ/","Bretagne"
145,"Britain","/bɹˈɪtən/","Groot‐Brittanje"
146,"British","/bɹˈɪtɪʃ/","Brits"
147,"Briton","/bɹˈɪtən/","Brit"
148,"Brittany","/bɹˈɪtəni/","Bretagne"
149,"Brunswick","/bɹˈʌnswɪk/","Brunswyk"
150,"Brussels‐sprouts","/bɹˈʌsəlz spɹˈaʊts/","Brusselse spruitjies"
151,"Brussels","/bɹˈʌsəlz/","1. Brussel❄2. Brussels"
152,"Bucharest","/bˌuːkɐɹˈɛst/","Boekarest"
153,"Buddha","/bˈʊdə/","Boeddha"
154,"Buddhism","/bˈʊdɪzəm/","Boeddhisme"
155,"Buddhist","/bˈʊdɪst/","Boeddhist"
156,"Bulgar","/bˈʌlɡə/","Bulgaar"
157,"Bulgaria","/bʌlɡˈeəɹiə/","Bulgarye"
158,"Bulgarian","/bʌlɡˈeəɹiən/","1. Bulgaars❄2. Bulgaar"
159,"Burma","/bˈɜːmə/","Birma"
160,"Burmese","/bˈɜːmiːz/","1. Birmees❄2. Birmaan"
161,"Bushman","/bˈʊʃmən/","Boesman"
162,"Byzantine","/bɪzˈantiːn/","Bisantyns"
163,"Byzantium","/bɪzˈantiəm/","Bisantium"
164,"Caesar","/sˈiːzə/","Caesar"
165,"Cain","/kˈeɪn/","Kain"
166,"Cairo","/kˈaɪɹəʊ/","Kaïro"
167,"California","/kˌalɪfˈɔːniə/","Kalifornië"
168,"Calvary","/kˈalvəɹi/","Kalvarieberg, Kruisberg"
169,"Calvin","/kˈalvɪn/","Calvyn"
170,"Cameroon","/kˌaməɹˈuːn/","Kameroen"
171,"Canada","/kˈanədə/","Kanada"
172,"Canadian","/kɐnˈeɪdiən/","Kanadees"
173,"Canary","/kənˈeəɹi/","Kanaries"
174,"Canary","/kənˈeəɹi/","Kanariese Eilande"
175,"Candlemas","/kˈandəlməz/","Maria‐ligmis, Vrouedag"
176,"Canterbury","/kˈantəbɹi/","klokkie, koppies‐en‐pierings, mariëteklokke"
177,"Canticles","/kˈantɪkəlz/","Hooglied"
178,"Cape","/kˈeɪp/","Kaaps"
179,"Cape","/kˈeɪp/","Kaapprovinsie, die Kaapprovinsie"
180,"Cape","/kˈeɪp/","Kaapstad"
181,"Cape","/kˈeɪp/","Kaap die Goeie Hoop"
182,"Capitol","/kˈapɪtəl/","Kapitool"
183,"Capricorn","/kˈapɹɪkˌɔːn/","Steenbok"
184,"Carmelite","/kˈɑːmɪlˌaɪt/","Karmeliet"
185,"Carpathians","/kɑːpˈaθiənz/","Karpate"
186,"Carpathian","/kɑːpˈaθiən/","Karpate"
187,"Carthage","/kˈɑːθɪdʒ/","Carthago"
188,"Carthaginian","/kˌɑːθɐdʒˈɪniən/","Carthager"
189,"Caspian","/kˈaspiən/","Kaspiese See"
190,"Castillian","/kastˈɪliən/","Kastiliaans"
191,"Catholic","/kˈaθlɪk/","katoliek"
192,"Catholisism","/kˈaθəlˌɪsɪzəm/","katolisisme"
193,"Caucasus","/kˈɔːkasəs/","Kaukasus"
194,"Celebes","/sˈɛlɛbz/","Celebes"
195,"Celt","/kˈɛlt/","Kelt"
196,"Celtic","/kˈɛltɪk/","Kelties"
197,"Ceylon","/seɪlˈɒn/","Ceylon"
198,"Chile","/tʃˈɪli/","Chili"
199,"Chilean","/tʃˈɪliən/","1. Chileens❄2. Chileen"
200,"China","/tʃˈaɪnə/","China, Sjina"
201,"Chinaman","/tʃˈaɪnamən/","Chinees"
202,"Chinese","/tʃaɪnˈiːz/","1. Chinees, Sjinees"
203,"Christ","/kɹˈaɪst/","Christus"
204,"Christian","/kɹˈɪstʃən/","1. Christelik❄2. Christen"
205,"Christianity","/kɹˌɪstɪˈanɪti/","Christendom"
206,"Christian","/kɹˈɪstʃən/","doopnaam, voornaam"
207,"Christmas","/kɹˈɪsməs/","1. Kersfees, Kersmis"
208,"Christmas","/kɹˈɪsməs/","Kersfees, Kersmis"
209,"Christmas","/kɹˈɪsməs/","kersboom"
210,"Cinderella","/sˌɪndɪɹˈɛlə/","Asepoestertjie"
211,"Cologne","/kəlˈəʊn/","Keulen"
212,"Columbus","/kəlˈʌmbəs/","Columbus"
213,"Confucius","/kənfjˈuːʃəs/","Confucius"
214,"Congo","/kˈɒŋɡəʊ/","Kongo"
215,"Copenhagen","/kˌəʊpənhˈeɪɡən/","Kopenhagen"
216,"Corinthian","/kəɹˈɪnθiən/","Korinthies"
217,"Crete","/kɹˈiːt/","Kreta"
218,"Crimea","/kɹˈaɪmiə/","Krim, die Krim"
219,"Croat","/kɹˈəʊat/","Kroaat"
220,"Croatia","/kɹəʊˈeɪʃə/","Kroasië"
221,"Croatian","/kɹəʊˈeɪʃən/","Kroaties"
222,"Cuba","/kjˈuːbə/","Kuba"
223,"Cuban","/kjˈuːbən/","1. Kubaan❄2. Kubaans"
224,"Cupid","/kjˈuːpɪd/","Amor"
225,"Curaçao","/kjʊəɹˈasaʊ/","Curaçao"
226,"Cypriot","/sˈɪpɹɪət/","1. Cipries❄2. Ciprioot"
227,"Cypriote","/sˈɪpɹɪˌəʊt/","Cipries"
228,"Cyprus","/sˈaɪpɹəs/","Ciprus"
229,"Czech","/tʃˈɛk/","1. Tsjeggies❄2. Tsjeg"
230,"Czechoslovak","/tʃˈɛkəslˌʌvak/","1. Tsjeggies❄2. Tsjeg"
231,"Czechoslovakia","/tʃˌɛkəsləvˈakiə/","Tsjeggo‐Slowakye"
232,"Czechoslovakian","/tʃˌɛkəsləvˈakiən/","1. Tsjeggies❄2. Tsjeg"
233,"Dane","/dˈeɪn/","Deen"
234,"Danish","/dˈeɪnɪʃ/","Deens"
235,"Danube","/dˈanjuːb/","Donau"
236,"Dardanelles","/dˌɑːdeɪnˈɛlz/","Dardanelles, Hellespont"
237,"Day","/dˈeɪ/","Versoendag"
238,"December","/dɪsˈɛmbə/","Desember"
239,"Denmark","/dˈɛnmɑːk/","Denemarke"
240,"Deuteronomy","/djˌuːtəɹˈɒnəmi/","Deuteronomium"
241,"Dominican","/dəmˈɪnɪkən/","Dominikaans"
242,"Dorian","/dˈɔːɹiən/","Dories"
243,"Doric","/dˈɔːɹɪk/","Dories"
244,"Drakensberg","/dɹˈeɪkənsbˌɜːɡ/","Drakensberge"
245,"Dutch","/dˈʌtʃ/","1. Hollands❄2. Nederlands"
246,"Dutchman","/dˈʌtʃmən/","1. Hollander❄2. Nederlander"
247,"East","/ˈiːst/","ooste"
248,"Easter","/ˈiːstə/","Paasfees, Pase"
249,"East","/ˈiːst/","Oos‐Duitsland"
250,"Eden","/ˈiːdən/","Eden"
251,"Edinburgh","/ˈɛdɪnbʌɹə/","Edenburg"
252,"Egypt","/ˈiːdʒɪpt/","Egipte"
253,"Egyptian","/ɪdʒˈɪpʃən/","1. Egipties❄2. Egiptenaar"
254,"England","/ˈɪŋɡlənd/","Engeland"
255,"English","/ˈɪŋɡlɪʃ/","Engels"
256,"Englishman","/ˈɪŋɡlɪʃmən/","Engelsman"
257,"English","/ˈɪŋɡlɪʃ/","Engels"
258,"Epiphany","/ɪpˈɪfənˌɪ/","Driekoninge, Driekoningefees"
259,"Eskimo","/ˈɛskɪmˌəʊ/","Eskimo"
260,"Esperantist","/ɛspˈɜːɹantˌɪst/","esperantis"
261,"Esperanto","/ɛspəɹˈantəʊ/","Esperanto"
262,"Estonia","/ɛstˈəʊniə/","Estland"
263,"Estonian","/ɛstˈəʊniən/","1. Ests❄2. Est"
264,"Ethiopia","/ˌiːθɪˈəʊpiə/","Ethiopië"
265,"Ethiopian","/ˌiːθɪˈəʊpiən/","Ethiopiër"
266,"Etruria","/ɪtɹˈʊəɹiə/","Etrurië"
267,"Etrurian","/ɪtɹˈʊəɹiən/","1. Etruries, Etruskies❄2. Etruriër"
268,"Etruscan","/ɪtɹˈʌskən/","1. Etruries, Etruskies❄2. Etruriër"
269,"Euphrates","/juːfɹˈeɪtiːz/","Eufraat"
270,"Europa","/jʊəɹˈəʊpə/","Europa"
271,"Europe","/jˈʊəɹəp/","Europa"
272,"European","/jˌʊəɹəpˈiən/","1. blanke, witmens❄2. Europees❄3. Europeaan, Europeër"
273,"European","/jˌʊəɹəpˈiən/","Europese bison"
274,"Euxine","/jˈuːksaɪn/","Swart See"
275,"Eva","/ˈiːvə/","Eva"
276,"Evening","/ˈiːvnɪŋ/","Aandster, Venus"
277,"Exodus","/ˈɛksədəs/","Eksodus"
278,"Father","/fˈɑːðə/","Kersvader"
279,"Feast","/fˈiːst/","Versoendag"
280,"February","/fˈɛbɹuːəɹi/","Februarie"
281,"Finland","/fˈɪnlənd/","Finland"
282,"Finn","/fˈɪn/","Fin, Finlander"
283,"Finnish","/fˈɪnɪʃ/","Fins"
284,"Flanders","/flˈandəz/","Vlaandere"
285,"Flemming","/flˈɛmɪŋ/","Vlaming"
286,"Flemmish","/flˈɛmɪʃ/","Vlaams"
287,"Flushing","/flˈʌʃɪŋ/","Vlissingen"
288,"France","/fɹˈans/","Frankryk"
289,"Franconia","/fɹaŋkˈəʊniə/","Frankeland"
290,"Frankish","/fɹˈaŋkɪʃ/","Frankies"
291,"French","/fɹˈɛntʃ/","1. Frans❄2. Franse taal"
292,"French","/fɹˈɛntʃ/","Frans, Franse taal"
293,"Friday","/fɹˈaɪdeɪ/","Vrydag"
294,"Friesland","/fɹˈiːslənd/","Friesland"
295,"Frisian","/fɹˈɪziən/","Fries"
296,"GDR","/dʒˌiːdˌiːˈɑː/","Oos‐Duitsland"
297,"Gaelic","/ɡˈeɪlɪk/","Kelties"
298,"Galician","/ɡalˈɪʃən/","Galicies"
299,"Gaul","/ɡˈɔːl/","Gallië"
300,"Genesis","/dʒˈɛnɪsˌɪs/","Genesis"
301,"Geneva","/dʒənˈiːvə/","Geneve"
302,"Genoa","/dʒɛnˈəʊə/","Genua"
303,"German","/dʒˈɜːmən/","1. Duits❄2. Duitse taal❄3. Duitser❄4. Germaan"
304,"Germanic","/dʒɜːmˈanɪk/","Germaans"
305,"Germany","/dʒˈɜːməni/","Duitsland"
306,"German","/dʒˈɜːmən/","Duits, Duitse taal"
307,"German","/dʒˈɜːmən/","Duitse masels, rooihond"
308,"Ghent","/ɡˈɛnt/","Gent"
309,"God","/ɡˈɒd/","God"
310,"God's","/ɡˈɒdz/","begraafplaas, begraafplek"
311,"Golden","/ɡˈəʊldən/","Gulde Vlies"
312,"Gold","/ɡˈəʊld/","Goudkus"
313,"Golgotha","/ɡəlɡˈɒθə/","Kalvarieberg, Kruisberg"
314,"Good","/ɡˈʊd/","Goeie Vrydag"
315,"Gothic","/ɡˈɒθɪk/","Goties"
316,"Grail","/ɡɹˈeɪl/","Graal"
317,"Great","/ɡɹˈeɪt/","Groot‐Brittanje"
318,"Greece","/ɡɹˈiːs/","Griekeland"
319,"Greek","/ɡɹˈiːk/","1. Grieks❄2. Griek"
320,"Greenland","/ɡɹˈiːnlənd/","Groenland"
321,"Guelder","/ɡˈɛldə/","balroos"
322,"Guinea","/ɡˈɪni/","Guinee"
323,"Gypsy","/dʒˈɪpsi/","sigeuner"
324,"Haiti","/hˈeɪti/","Haïti"
325,"Havana","/hɐvˈanə/","Havanna"
326,"Hawaii","/həwˈaɪiː/","Hawaiï"
327,"Hawaiian","/həwˈaɪən/","Hawaïes"
328,"Hebrew","/hˈiːbɹuː/","1. Hebreeus❄2. Hebreër, Israeliet, Jood"
329,"Hebrides","/hˈɛbɹədˌiːz/","Hebride"
330,"Hellenian","/hɛlˈiːniən/","Grieks, Helleens"
331,"Hellenic","/hɛlˈɛnɪk/","Grieks, Helleens"
332,"Hellespont","/hˈɛlɪspˌɒnt/","Dardanelles, Hellespont"
333,"Helvetia","/hɛlvˈiːʃə/","Helvesië, Switserland"
334,"Highlander","/hˈaɪləndə/","Hooglander"
335,"Hindu","/hˈɪnduː/","1. Hindoe‐, Hindoes❄2. Hindoe"
336,"Holland","/hˈɒlənd/","Holland"
337,"Hollander","/hˈɒləndə/","Hollander"
338,"Hungarian","/hʌŋɡˈeəɹiən/","1. Hongaars❄2. Hongaar"
339,"Hungary","/hˈʌŋɡəɹi/","Hongarye"
340,"Iberian","/aɪbˈiəɹiən/","Iberies"
341,"Iceland","/ˈaɪslənd/","Ysland"
342,"Icelander","/ˈaɪsləndə/","Yslander"
343,"Icelandic","/aɪslˈandɪk/","Yslands"
344,"India","/ˈɪndiə/","Indië"
345,"Indian","/ˈɪndiən/","1. Indies❄2. Indiër❄3. Indiaans❄4. Indiaan, Rooihuid"
346,"Indian","/ˈɪndiən/","mielies"
347,"Indo‐China","/ˈɪndəʊ tʃˈaɪnə/","Agter‐Indië, Indo‐China, Indo‐Sjina"
348,"Indo‐European","/ˈɪndəʊ jˌʊəɹəpˈiən/","1. Indo‐Europees❄2. Indo‐Europeaan, Indo‐Europeër❄3. Indo‐Germaans"
349,"Indo‐Germanic","/ˈɪndəʊ dʒɜːmˈanɪk/","Indo‐Europees, Indo‐Germaans"
350,"Indonesia","/ɪndəʊnˈiːziə/","Indonesië"
351,"Indonesian","/ɪndəʊnˈiːziən/","1. Indonesies❄2. Indonesiër"
352,"Ionian","/aɪˈɒniən/","Ionies"
353,"Iran","/ɪɹˈan/","Iran, Persië"
354,"Iranian","/ɪɹˈeɪniən/","1. Iranies❄2. Iraniër"
355,"Iraq","/ɪɹˈak/","Irak"
356,"Iraqi","/ɪɹˈaki/","1. Iraaks❄2. Irakiër"
357,"Iraquian","/ɪɹˈakwiən/","1. Iraaks❄2. Irakiër"
358,"Ireland","/ˈaɪələnd/","Ierland"
359,"Irish","/ˈaɪɹɪʃ/","Iers"
360,"Irishman","/ˈaɪɹɪʃmən/","Ier"
361,"Islam","/ɪslˈɑːm/","Islam, Mohammedanisme"
362,"Islamic","/ɪslˈɑːmɪk/","Islamities, Mohammedaans, Slams"
363,"Israel","/ˈɪsɹeɪl/","Israel"
364,"Israeli","/ɪzɹˈeɪli/","1. Israelies❄2. Israeli"
365,"Israelian","/ɪsɹˈeɪliən/","1. Israelies❄2. Israeli"
366,"Israelite","/ˈɪsɹeɪlˌaɪt/","1. Israelities❄2. Israeliet"
367,"Israelitish","/ˈɪsɹeɪlˌɪtɪʃ/","Israelities"
368,"Istanbul","/ˌɪstˌanbˈʊl/","Istanboel, Konstantinopel"
369,"Italian","/ɪtˈaliən/","1. Italiaans❄2. Italiaan, Italianer"
370,"Italy","/ˈɪtəli/","Italië"
371,"Jamaica","/dʒɐmˈeɪkə/","Jamaika"
372,"January","/dʒˈanjuːəɹi/","Januarie"
373,"Japan","/dʒəpˈan/","Japan"
374,"Japanese","/dʒˌapənˈiːz/","1. Japannees, Japans❄2. Japanner"
375,"Java","/dʒˈɑːvə/","Java"
376,"Javan","/dʒˈɑːvan/","Javaans"
377,"Javanese","/dʒˌɑːvənˈiːz/","1. Javaans❄2. Javaan"
378,"Jehovah","/dʒəhˈəʊvə/","Jehova"
379,"Jerusalem","/dʒəɹˈuːsələm/","Jerusalem"
380,"Jew","/dʒˈuː/","1. Hebreër, Israeliet, Jood"
381,"Jewish","/dʒˈuːɪʃ/","1. Hebreeus❄2. Joods"
382,"Johannesburg","/dʒəʊhˈanzbɜːɡ/","Johannesburg"
383,"Jordan","/dʒˈɔːdən/","Jordaan"
384,"Joseph","/dʒˈəʊsəf/","Josef"
385,"Jove","/dʒˈəʊv/","Jupiter"
386,"July","/dʒuːlˈaɪ/","Julie"
387,"June","/dʒˈuːn/","Junie"
388,"Jupiter","/dʒˈuːpɪtə/","Jupiter"
389,"Kenya","/kˈɛnjə/","Kenia"
390,"Kremlin","/kɹˈɛmlɪn/","Kremlin"
391,"Krishna","/kɹˈɪʃnə/","Krisjna"
392,"Lady","/lˈeɪdi/","Annunsiasie"
393,"Lapland","/lˈaplənd/","Lapland"
394,"Laplander","/lˈapləndə/","Lap, Laplander"
395,"Lapp","/lˈap/","1. Laplands❄2. Lap, Laplander"
396,"Lappish","/lˈapɪʃ/","Laplands"
397,"Latin","/lˈatɪn/","1. Latyns❄2. Latyn"
398,"Latvia","/lˈatviə/","Letland"
399,"Latvian","/lˈatviən/","1. Lets❄2. Let"
400,"Lebanon","/lˈɛbənˌɒn/","Libanon"
401,"Lett","/lˈɛt/","Let"
402,"Lettish","/lˈɛtɪʃ/","Lets"
403,"Leyden","/lˈeɪdən/","Leiden"
404,"Liberia","/laɪbˈiəɹiːə/","Liberië"
405,"Libya","/lˈɪbɪə/","Libië"
406,"Libyan","/lˈɪbɪən/","1. Libies❄2. Libiër"
407,"Lisbon","/lˈɪsbən/","Lissabon"
408,"Lithuania","/lˌɪθjuːˈeɪniə/","Litaue"
409,"Lithuanian","/lˌɪθjuːˈeɪniən/","1. Litaus❄2. Litauer"
410,"Livonia","/lɪvˈəʊniə/","Lyfland"
411,"Livonian","/lɪvˈəʊniən/","Lyflands"
412,"Liège","/lˈiːdʒ/","Luik"
413,"London","/lˈʌndən/","Londen"
414,"Lorraine","/ləɹˈeɪn/","Lotaringe"
415,"Lothringen","/lˈɒθɹɪndʒən/","Lotaringe"
416,"Low","/lˈəʊ/","Nederduits, Platduits"
417,"Lucerne","/lˈuːsən/","Lusern"
418,"Lucifer","/lˈuːsɪfə/","1. Lucifer❄2. Satan"
419,"Macedonia","/mˌasɪdˈəʊniə/","Macedonië"
420,"Machiavelli","/mˌakiəvˈɛlɪ/","Machiavelli"
421,"Madagascar","/mˌadəɡˈaskə/","Madagaskar"
422,"Madonna","/mɐdˈɒnə/","Madonna, Moedermaagd"
423,"Madrid","/mədɹˈɪd/","Madrid"
424,"Malacca","/mˈalakə/","Malakka"
425,"Malay","/məlˈeɪ/","Maleis, Slams"
426,"Malta","/mˈɒltə/","Malta"
427,"Maltese","/mˈɒltiːz/","1. Maltees❄2. Malteser"
428,"Manchuria","/mantʃjˈʊəɹiə/","Mantsjoerye"
429,"March","/mˈɑːtʃ/","Maart"
430,"Mars","/mˈɑːz/","Mars"
431,"Mauretanian","/mˌɔːɹɪtˈeɪniən/","1. Moors❄2. Moor"
432,"May","/mˈeɪ/","Mei"
433,"Mecca","/mˈɛkə/","Mekka"
434,"Melanesia","/mˌɛlənˈiːziə/","Melanesië"
435,"Melanesian","/mˌɛlənˈiːziən/","1. Melanesies❄2. Melanesiër"
436,"Mexican","/mˈɛksɪkən/","Mexikaans"
